Distrito,Latitud,Longitud,Indice_Seguridad,Proximidad_Vias_Principales_km,Area_Total_m2,Area_Techada_m2,Habitaciones,Banos,Antiguedad_Anios,Estacionamientos,Viabilidad_Pozo_Agua,Potencial_Energia_Solar,Zonificacion,Estado_Independizacion,Modalidad_Compra,Precio_Publicado_USD,Precio_M2_Referencial_Zona
Santa Rosa,-12.017781326309782,-77.06300380054276,5,1.32,120,0.0,0,0,0,2,1,0,Residencial Baja Densidad,0,Cuotas sin intereses,82816.78,600
San Bartolo,-11.960214929861785,-77.20734413039546,7,4.32,297,293.56,8,5,2,0,0,1,Residencial Media Densidad,1,Crédito Hipotecario,410686.24,1400
Lima (Cercado),-11.975587623214988,-77.01180111861753,4,2.13,56,47.66,1,1,27,0,0,0,Residencial Media Densidad,1,Crédito Hipotecario,43903.89,1300
Villa María del Triunfo,-12.251366554255972,-77.03522638334175,3,2.79,267,231.87,6,4,7,0,0,0,Residencial Media Densidad,1,Crédito Hipotecario,174609.48,850
Cieneguilla,-11.915543483964473,-76.79685010889722,7,3.24,200,0.0,0,0,0,2,1,1,Alquiler Vacacional,0,Cuotas sin intereses,80910.64,350
Miraflores,-12.001635085508122,-76.98210193094779,9,1.53,176,143.48,4,2,24,2,0,0,Residencial Alta Densidad,1,Crédito Hipotecario,373142.28,2400
Santa Rosa,-12.014304256181605,-77.0082418319338,5,2.1,200,0.0,0,0,0,1,1,0,Alquiler Vacacional,0,Cuotas sin intereses,129049.25,600
Lurín,-12.032114819598283,-77.04840866529491,5,1.81,120,0.0,0,0,0,1,1,1,Residencial Baja Densidad,0,Cuotas sin intereses,65180.33,500
Pucusana,-12.156479939736911,-77.00599855131243,5,3.76,174,168.47,4,2,23,0,0,1,Residencial Media Densidad,0,Crédito Hipotecario,89473.89,700
Independencia,-11.898408364254413,-77.10291759295073,4,3.41,239,183.34,5,3,27,0,0,0,Residencial Media Densidad,1,Crédito Hipotecario,133104.97,950
Independencia,-12.028895984902908,-77.00615945658458,4,1.93,221,199.46,5,3,7,1,0,1,Residencial Media Densidad,1,Crédito Hipotecario,163137.91,950
Pueblo Libre,-11.92473518967383,-77.14174037934968,8,1.02,299,234.51,6,4,39,2,0,0,Residencial Media Densidad,1,Crédito Hipotecario,322282.12,1600
San Miguel,-12.096348148059143,-77.023315533305,7,3.23,87,81.93,2,1,13,2,0,0,Residencial Media Densidad,1,Crédito Hipotecario,118828.5,1600
Santiago de Surco,-12.02621042241251,-76.82433900374143,8,3.29,278,275.6,7,4,24,0,0,1,Residencial Alta Densidad,1,Contado,543977.54,1900
Pueblo Libre,-11.94549267321309,-77.00632503900623,8,4.87,282,231.76,6,4,28,2,0,0,Residencial Media Densidad,0,Crédito Hipotecario,312210.93,1600
Barranco,-12.11144960913031,-77.00466552323978,8,0.82,232,180.68,5,3,21,0,0,0,Residencial Alta Densidad,1,Crédito Hipotecario,405718.12,2500
Pachacámac,-11.96564621550163,-76.97079930896845,6,1.57,500,0.0,0,0,0,1,1,1,Alquiler Vacacional,0,Cuotas sin intereses,210003.68,400
